State,Gender,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
Oregon,,Bachelor,859160.0,38984.0,73.0,0,Personal Auto,Four-Door Car,350.4
Oregon,,High School or Below,559216.0,71811.0,71.0,0,Personal Auto,Four-Door Car,29.03416
Nevada,,College,800947.0,20961.0,67.0,0,Personal Auto,Four-Door Car,321.6
Washington,Female,Master,,41275.0,96.0,0,Personal Auto,Four-Door Car,41.122303
California,,Bachelor,5816655.0,61321.0,186.0,1,Personal Auto,Luxury Car,427.63121
California,,College,802523.0,0.0,77.0,0,Personal Auto,Two-Door Car,25.807685
California,,High School or Below,578018.0,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
California,,Doctor,411854.0,34378.0,102.0,0,Personal Auto,SUV,489.6
Nevada,,Master,252307.0,43072.0,63.0,0,Personal Auto,Four-Door Car,302.4
Oregon,,College,655422.0,25222.0,90.0,0,Personal Auto,Four-Door Car,475.623251
Washington,Female,Bachelor,538275.0,77552.0,68.0,1,Corporate Auto,Four-Door Car,45.215059
California,,College,592673.0,23091.0,96.0,5,Personal Auto,Four-Door Car,460.8
California,,Bachelor,268347.0,48269.0,69.0,3,Corporate Auto,Four-Door Car,282.151207
Oregon,,Bachelor,269518.0,32720.0,67.0,0,Personal Auto,Four-Door Car,321.6
California,,College,604703.0,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
Oregon,,College,1317101.0,21513.0,119.0,1,Personal Auto,Two-Door Car,679.827592
Washington,Female,College,1595002.0,0.0,87.0,1,Personal Auto,Two-Door Car,46.041452
Oregon,,Bachelor,252765.0,80744.0,63.0,0,Corporate Auto,Four-Door Car,11.879037
Oregon,,Bachelor,267210.0,52822.0,67.0,0,Corporate Auto,Two-Door Car,350.529033
California,,High School or Below,531329.0,0.0,77.0,1,Personal Auto,Four-Door Car,863.3947
Oregon,,Bachelor,2094619.0,69738.0,74.0,1,Personal Auto,Four-Door Car,492.127532
Arizona,,Master,837535.0,17780.0,109.0,0,Personal Auto,SUV,132.588288
California,,Bachelor,480166.0,18107.0,62.0,0,Personal Auto,Four-Door Car,297.6
Arizona,,Bachelor,574594.0,57740.0,74.0,3,Personal Auto,Four-Door Car,269.905129
Oregon,,College,606612.0,32627.0,76.0,0,Personal Auto,Two-Door Car,380.036697
California,,College,800231.0,0.0,107.0,0,Personal Auto,SUV,513.6
California,,College,239392.0,0.0,70.0,0,Personal Auto,Four-Door Car,425.266308
Oregon,,Bachelor,476282.0,65795.0,62.0,1,Corporate Auto,Two-Door Car,49.011099
California,,College,433039.0,60475.0,107.0,0,Personal Auto,Four-Door Car,513.6
California,,High School or Below,940273.0,0.0,130.0,0,Personal Auto,SUV,936.0
Oregon,,Bachelor,696669.0,41837.0,88.0,0,Personal Auto,Four-Door Car,142.062768
California,,Bachelor,769406.0,32303.0,65.0,0,Personal Auto,Four-Door Car,45.152521
Oregon,,High School or Below,871756.0,0.0,117.0,1,Personal Auto,SUV,561.6
California,,Bachelor,592875.0,40531.0,74.0,0,Personal Auto,Two-Door Car,30.567357
Oregon,,College,245298.0,79898.0,62.0,1,Corporate Auto,Four-Door Car,271.606799
California,,College,670157.0,56398.0,85.0,0,Personal Auto,Four-Door Car,408.0
Washington,Male,High School or Below,499655.0,71600.0,63.0,0,Personal Auto,Two-Door Car,46.158117
Arizona,,College,849270.0,27804.0,109.0,0,Personal Auto,SUV,784.8
Oregon,,Bachelor,771349.0,45506.0,66.0,2,Personal Auto,Four-Door Car,316.8
Washington,Female,Master,518580.0,99428.0,6464.0,1,Personal Auto,Four-Door Car,48.046869
California,,High School or Below,729007.0,0.0,102.0,1,Corporate Auto,SUV,489.6
Oregon,,High School or Below,477294.0,20993.0,133.0,0,Personal Auto,SUV,638.4
Arizona,,High School or Below,680649.0,37839.0,86.0,0,Personal Auto,Two-Door Car,465.633954
California,,Bachelor,246978.0,92711.0,62.0,0,Personal Auto,Two-Door Car,368.400146
California,,College,310392.0,74665.0,78.0,2,Corporate Auto,Four-Door Car,236.902001
Washington,Female,College,1048492.0,61108.0,89.0,0,Personal Auto,Four-Door Car,49.451117
California,,Bachelor,890274.0,46833.0,112.0,0,Personal Auto,Sports Car,64.109663
Oregon,,High School or Below,549945.0,88768.0,68.0,0,Personal Auto,Two-Door Car,326.4
California,,High School or Below,1502360.0,28262.0,192.0,0,Personal Auto,Luxury SUV,921.6
Nevada,,Bachelor,250911.0,33555.0,63.0,0,Personal Auto,Four-Door Car,101.89645
Oregon,,College,3122175.0,42780.0,113.0,1,Personal Auto,Four-Door Car,542.4
Oregon,,Master,313350.0,58850.0,78.0,0,Personal Auto,Four-Door Car,143.747794
Arizona,,College,383745.0,21880.0,97.0,0,Special Auto,Four-Door Car,424.077159
Oregon,,College,1179050.0,25251.0,66.0,0,Personal Auto,Four-Door Car,316.8
Washington,Female,High School or Below,282986.0,25317.0,71.0,0,Personal Auto,Two-Door Car,50.422181
Arizona,,High School or Below,430581.0,24188.0,109.0,0,Personal Auto,Sports Car,523.2
Nevada,,Bachelor,597398.0,41611.0,74.0,0,Special Auto,Four-Door Car,113.801497
Oregon,,Bachelor,567044.0,28406.0,72.0,1,Personal Auto,Four-Door Car,192.87572
Arizona,,College,473175.0,69833.0,118.0,0,Personal Auto,Four-Door Car,828.662719
Arizona,,High School or Below,802638.0,0.0,74.0,0,Corporate Auto,Four-Door Car,532.8
Arizona,,High School or Below,402296.0,0.0,117.0,0,Personal Auto,SUV,975.107098
Oregon,,High School or Below,961831.0,80536.0,119.0,0,Special Auto,Sports Car,53.798708
Washington,Female,Bachelors,725595.0,88891.0,89.0,0,Personal Auto,Four-Door Car,50.528355
Oregon,,College,955293.0,97732.0,79.0,0,Personal Auto,Four-Door Car,289.9122
Arizona,Female,Bachelor,1038855.0,61222.0,89.0,0,Special Auto,Four-Door Car,392.604371
Oregon,Male,College,247012.0,0.0,74.0,0,Personal Auto,Two-Door Car,721.242206
Arizona,Male,Master,561907.0,50335.0,140.0,0,Personal Auto,SUV,456.52385
California,Female,High School or Below,904712.0,0.0,127.0,0,Personal Auto,Sports Car,1087.995426
Washington,Female,Doctor,268731.0,82210.0,68.0,4,Personal Auto,Four-Door Car,51.961915
Oregon,Female,High School or Below,373150.0,0.0,96.0,0,Personal Auto,Four-Door Car,460.8
Nevada,Male,Bachelor,366077.0,64495.0,92.0,0,Corporate Auto,Four-Door Car,251.992083
California,Female,College,792883.0,0.0,72.0,0,Corporate Auto,Four-Door Car,345.6
Arizona,Female,Bachelor,501175.0,28859.0,67.0,3,Corporate Auto,Two-Door Car,321.6
Arizona,Female,High School or Below,798826.0,77330.0,99.0,0,Personal Auto,Four-Door Car,99.257608
Oregon,Male,College,388546.0,0.0,105.0,0,Corporate Auto,Four-Door Car,504.0
Washington,Female,High School or Below,935774.0,33060.0,117.0,0,Personal Auto,Four-Door Car,56.731578
Washington,Male,Master,254069.0,42557.0,65.0,0,Personal Auto,Four-Door Car,57.562324
Arizona,Male,High School or Below,488516.0,26372.0,126.0,0,Personal Auto,SUV,604.8
Arizona,Female,Bachelor,975331.0,17514.0,127.0,0,Personal Auto,SUV,8.312729
California,Female,Bachelor,294615.0,89270.0,74.0,0,Personal Auto,Four-Door Car,316.599228
California,Male,High School or Below,258111.0,29757.0,65.0,0,Personal Auto,Four-Door Car,312.0
Oregon,Male,College,351739.0,51814.0,92.0,0,Personal Auto,Four-Door Car,56.300724
Oregon,Female,Bachelor,974335.0,24028.0,82.0,0,Personal Auto,Four-Door Car,393.6
Arizona,Male,College,387365.0,28142.0,105.0,0,Personal Auto,Sports Car,701.708239
Arizona,Female,Bachelor,764928.0,52705.0,64.0,1,Personal Auto,Two-Door Car,128.705563
California,Male,High School or Below,228760.0,0.0,63.0,0,Corporate Auto,Two-Door Car,679.368378
Washington,Female,High School or Below,825576.0,54040.0,103.0,0,Personal Auto,SUV,59.987126
California,Female,College,871492.0,0.0,118.0,0,Personal Auto,SUV,566.4
Washington,Female,Doctor,681923.0,22492.0,85.0,0,Personal Auto,Two-Door Car,61.654262
California,Male,Bachelor,741620.0,0.0,77.0,2,Personal Auto,Four-Door Car,554.4
Oregon,Male,Master,777116.0,21876.0,68.0,0,Personal Auto,Four-Door Car,465.41477
California,Female,Bachelor,696834.0,0.0,69.0,1,Personal Auto,Four-Door Car,496.8
California,Female,High School or Below,425028.0,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
Oregon,Female,High School or Below,1977657.0,70699.0,82.0,0,Personal Auto,Four-Door Car,256.813837
California,Female,High School or Below,2134347.0,0.0,74.0,1,Personal Auto,Four-Door Car,355.2
California,Male,College,241314.0,27501.0,63.0,0,Personal Auto,Four-Door Car,542.319401
Oregon,Female,Doctor,1536385.0,15897.0,101.0,0,Personal Auto,Four-Door Car,303.148399
Nevada,Female,College,845696.0,25141.0,73.0,1,Personal Auto,Four-Door Car,25.438063
Nevada,Female,College,218964.0,0.0,61.0,3,Personal Auto,Four-Door Car,292.8
California,Male,High School or Below,578018.0,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
California,Female,Bachelor,463998.0,28358.0,117.0,0,Personal Auto,Sports Car,84.024413
Washington,Female,Doctor,382443.0,62530.0,95.0,0,Personal Auto,Four-Door Car,61.693771
Arizona,Female,Bachelor,596812.0,90972.0,74.0,0,Personal Auto,Two-Door Car,232.926145
Washington,Female,Bachelor,859034.0,63110.0,72.0,0,Personal Auto,Four-Door Car,68.179721
California,Female,Bachelor,407663.0,29549.0,104.0,0,Personal Auto,Sports Car,710.433775
California,Female,Bachelor,1225260.0,0.0,115.0,1,Personal Auto,Four-Door Car,552.0
Nevada,Female,Bachelor,1693627.0,39411.0,217.0,2,Personal Auto,Luxury Car,1122.658899
Oregon,Male,High School or Below,489244.0,21709.0,62.0,0,Personal Auto,Four-Door Car,408.374746
Nevada,Male,Bachelor,994230.0,67890.0,85.0,0,Personal Auto,Four-Door Car,408.0
California,Male,Bachelor,373584.0,0.0,110.0,0,Personal Auto,SUV,792.0
California,Female,High School or Below,1311752.0,84311.0,111.0,4,Personal Auto,SUV,532.8
California,Female,College,457452.0,99316.0,114.0,0,Corporate Auto,SUV,754.358929
Arizona,Female,Bachelor,547006.0,54507.0,138.0,0,Personal Auto,SUV,702.990032
California,Female,Bachelor,297885.0,64586.0,76.0,0,Personal Auto,Four-Door Car,206.837111
Oregon,Male,College,641097.0,61709.0,82.0,2,Personal Auto,Four-Door Car,275.395894
California,Male,Master,447902.0,94656.0,111.0,1,Special Auto,SUV,459.738128
California,Female,High School or Below,238373.0,0.0,69.0,0,Special Auto,Two-Door Car,496.8
California,Male,Bachelor,276449.0,61085.0,70.0,1,Personal Auto,Two-Door Car,336.0
Oregon,Female,Bachelor,792011.0,89284.0,67.0,3,Personal Auto,Two-Door Car,321.6
Arizona,Female,High School or Below,688910.0,0.0,63.0,0,Personal Auto,Four-Door Car,302.4
Washington,Female,Bachelor,327419.0,31686.0,81.0,0,Personal Auto,Four-Door Car,430.994107
Oregon,Male,High School or Below,995171.0,56855.0,255.0,0,Corporate Auto,Luxury SUV,1836.0
Oregon,Male,Bachelor,252156.0,53703.0,67.0,2,Special Auto,Four-Door Car,67.632476
Washington,Female,High School or Below,2370611.0,0.0,96.0,1,Personal Auto,Two-Door Car,844.481918
California,Male,College,604703.0,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
California,Female,Master,1114030.0,27679.0,150.0,0,Personal Auto,SUV,722.486994
Nevada,Female,Bachelor,433406.0,23904.0,123.0,3,Personal Auto,SUV,590.4
Arizona,Female,High School or Below,279975.0,65351.0,69.0,0,Corporate Auto,Four-Door Car,481.027516
California,Male,College,792314.0,0.0,113.0,0,Personal Auto,SUV,1124.427734
California,Male,High School or Below,368811.0,0.0,63.0,3,Personal Auto,Four-Door Car,669.682001
California,Male,College,1206746.0,0.0,116.0,0,Personal Auto,SUV,1284.093173
California,Female,College,292498.0,64459.0,72.0,0,Personal Auto,Four-Door Car,240.259479
California,Male,College,1501409.0,32961.0,190.0,0,Corporate Auto,SUV,912.0
Oregon,Female,High School or Below,927723.0,71416.0,116.0,0,Corporate Auto,SUV,556.8
Washington,Female,Bachelor,627412.0,68964.0,78.0,0,Personal Auto,Four-Door Car,115.086827
Cali,Male,High School or Below,388665.0,78108.0,98.0,0,Personal Auto,Two-Door Car,470.4
Cali,Male,College,438628.0,10621.0,67.0,0,Special Auto,Four-Door Car,321.6
Washington,Male,College,1136527.0,84910.0,95.0,0,Corporate Auto,Two-Door Car,383.167471
Cali,Female,High School or Below,561096.0,77493.0,70.0,0,Special Auto,Four-Door Car,307.963291
Arizona,Male,College,291289.0,81097.0,74.0,0,Personal Auto,Four-Door Car,355.2
Oregon,Female,College,691573.0,96610.0,85.0,0,Corporate Auto,Four-Door Car,520.364752
Oregon,Male,College,626266.0,30110.0,159.0,0,Corporate Auto,Sports Car,466.436375
Oregon,Female,High School or Below,650340.0,22081.0,84.0,0,Special Auto,Two-Door Car,451.670309
Washington,Female,High School or Below,800740.0,0.0,112.0,0,Personal Auto,Sports Car,537.6
Cali,Male,College,292992.0,98473.0,72.0,0,Personal Auto,Four-Door Car,345.6
Oregon,Female,Bachelor,596955.0,97431.0,74.0,0,Personal Auto,Four-Door Car,355.2
Cali,Male,Bachelor,547316.0,93870.0,69.0,0,Personal Auto,Four-Door Car,331.2
Nevada,Male,High School or Below,564540.0,50366.0,72.0,0,Personal Auto,Four-Door Car,428.734656
Washington,Male,High School or Below,636926.0,34498.0,83.0,0,Personal Auto,Two-Door Car,398.4
Oregon,Female,College,1183377.0,16552.0,103.0,0,Personal Auto,SUV,494.4
Oregon,Female,College,612111.0,26787.0,77.0,0,Personal Auto,Four-Door Car,369.6
Nevada,Male,College,515937.0,0.0,74.0,0,Personal Auto,Two-Door Car,831.752839
Nevada,Female,High School or Below,251459.0,43860.0,65.0,0,Corporate Auto,Four-Door Car,156.124914
Arizona,Male,High School or Below,866861.0,21474.0,114.0,2,Corporate Auto,SUV,373.428187
Cali,Male,Bachelor,496097.0,18174.0,66.0,0,Corporate Auto,Four-Door Car,395.934815
Arizona,Female,Bachelor,550414.0,0.0,73.0,0,Corporate Auto,Four-Door Car,350.4
Arizona,Male,College,750746.0,60920.0,64.0,0,Personal Auto,Two-Door Car,231.201886
Arizona,Male,High School or Below,3226985.0,41520.0,90.0,0,Personal Auto,Four-Door Car,289.904105
Oregon,Female,Bachelor,565703.0,0.0,152.0,0,Personal Auto,SUV,729.6
Arizona,Male,High School or Below,506176.0,0.0,68.0,0,Personal Auto,Two-Door Car,326.4
Cali,Male,Bachelor,591278.0,72208.0,73.0,0,Personal Auto,Two-Door Car,350.4
Cali,Female,Bachelor,1518228.0,53863.0,63.0,0,Personal Auto,Four-Door Car,105.765111
Washington,Male,College,1074703.0,66446.0,136.0,0,Corporate Auto,SUV,639.464548
Washington,Male,College,205062.0,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
Washington,Female,Bachelor,246544.0,64997.0,63.0,1,Personal Auto,Four-Door Car,383.442328
Nevada,Female,High School or Below,534312.0,64460.0,66.0,0,Corporate Auto,Two-Door Car,316.8
Arizona,Female,College,811983.0,46618.0,67.0,0,Personal Auto,Four-Door Car,99.085943
Oregon,Female,College,460527.0,0.0,64.0,0,Corporate Auto,Four-Door Car,307.2
Cali,Male,College,640879.0,49988.0,84.0,5,Personal Auto,Two-Door Car,566.935022
Cali,Female,College,237653.0,0.0,91.0,5,Personal Auto,Two-Door Car,436.8
Cali,Male,Bachelor,321107.0,16269.0,86.0,0,Corporate Auto,Two-Door Car,412.8
Arizona,Female,Bachelor,509452.0,72006.0,64.0,0,Personal Auto,Four-Door Car,307.2
Arizona,Female,High School or Below,2575528.0,0.0,81.0,2,Personal Auto,Four-Door Car,388.8
Oregon,Male,Bachelor,867223.0,0.0,245.0,0,Corporate Auto,Luxury SUV,2345.413441
Cali,Male,Master,804473.0,44320.0,67.0,0,Personal Auto,Four-Door Car,321.6
Arizona,Female,High School or Below,400152.0,19782.0,108.0,0,Personal Auto,Two-Door Car,773.470977
Nevada,Female,Bachelor,1670612.0,63933.0,70.0,0,Personal Auto,Two-Door Car,424.883448
Arizona,Male,Doctor,854441.0,28224.0,109.0,0,Personal Auto,SUV,523.2
Washington,Female,College,780531.0,21073.0,106.0,1,Personal Auto,SUV,508.8
Oregon,Male,Bachelor,611276.0,63243.0,77.0,0,Personal Auto,Four-Door Car,364.240307
Nevada,Male,High School or Below,477294.0,20993.0,133.0,0,Personal Auto,SUV,638.4
Oregon,Female,Bachelor,1097910.0,94827.0,135.0,0,Personal Auto,SUV,354.729129
Cali,Female,Master,500426.0,39161.0,63.0,1,Personal Auto,Two-Door Car,283.995953
Washington,Male,Bachelor,1322304.0,37534.0,84.0,2,Personal Auto,Four-Door Car,403.2
Oregon,Female,Bachelor,262332.0,80210.0,65.0,0,Corporate Auto,Four-Door Car,20.543176
Cali,Male,Bachelor,1784020.0,0.0,62.0,0,Personal Auto,Four-Door Car,385.115437
Cali,Female,College,510611.0,30110.0,64.0,0,Personal Auto,Four-Door Car,140.165035
Arizona,Female,College,1793060.0,21708.0,68.0,0,Personal Auto,Four-Door Car,326.4
Arizona,Male,High School or Below,545734.0,94731.0,67.0,0,Personal Auto,Four-Door Car,321.6
Cali,Male,Bachelor,656364.0,32375.0,83.0,0,Personal Auto,Four-Door Car,398.4
Oregon,Male,College,481253.0,16531.0,63.0,0,Corporate Auto,Four-Door Car,102.879769
Arizona,Female,Master,2932804.0,32006.0,94.0,0,Corporate Auto,Four-Door Car,56.868289
Arizona,Female,Bachelor,577352.0,81676.0,72.0,0,Personal Auto,Two-Door Car,463.158502
Cali,Male,College,684712.0,71038.0,86.0,0,Corporate Auto,Four-Door Car,205.444066
Arizona,Female,High School or Below,359531.0,0.0,103.0,0,Corporate Auto,Sports Car,741.6
Nevada,Female,Master,2285561.0,20832.0,65.0,0,Personal Auto,Two-Door Car,56.371967
Washington,Male,High School or Below,785941.0,0.0,113.0,0,Personal Auto,SUV,813.6
Oregon,Male,High School or Below,411558.0,52405.0,103.0,0,Personal Auto,Four-Door Car,494.4
Arizona,Female,High School or Below,502964.0,0.0,133.0,0,Personal Auto,Sports Car,795.864079
Washington,Female,Bachelor,482142.0,26583.0,1005.0,4,Personal Auto,SUV,614.4
Oregon,Male,Master,500431.0,25486.0,65.0,0,Special Auto,Two-Door Car,72.438681
Arizona,Male,College,863005.0,24065.0,111.0,0,Corporate Auto,Four-Door Car,532.8
Arizona,Female,High School or Below,932209.0,70435.0,116.0,0,Personal Auto,Four-Door Car,67.881546
Cali,Male,College,1672756.0,0.0,76.0,2,Personal Auto,Two-Door Car,402.636829
Oregon,Female,High School or Below,365253.0,39679.0,92.0,0,Personal Auto,Two-Door Car,641.388616
Nevada,Male,College,615860.0,0.0,89.0,0,Personal Auto,Four-Door Car,342.481173
Cali,Male,Bachelor,437608.0,0.0,69.0,4,Personal Auto,Two-Door Car,331.2
Nevada,Male,High School or Below,556946.0,53565.0,71.0,1,Personal Auto,Four-Door Car,340.8
Washington,Male,Bachelor,257651.0,37574.0,66.0,1,Personal Auto,Two-Door Car,412.101933
Washington,Male,Bachelor,834698.0,48259.0,108.0,0,Personal Auto,Two-Door Car,73.700573
Arizona,Female,High School or Below,632392.0,78532.0,78.0,0,Personal Auto,Four-Door Car,374.4
Arizona,Female,Bachelor,597314.0,96163.0,73.0,0,Corporate Auto,Four-Door Car,350.4
Cali,Male,Bachelor,470668.0,0.0,72.0,0,Personal Auto,Four-Door Car,345.6
Cali,Male,High School or Below,809341.0,0.0,114.0,1,Personal Auto,Sports Car,722.024742
Washington,Male,College,503574.0,72672.0,63.0,0,Personal Auto,Four-Door Car,259.361117
Oregon,Female,Bachelor,902787.0,99002.0,112.0,1,Personal Auto,Four-Door Car,537.6
California,Male,High School or Below,728888.0,79494.0,91.0,0,Personal Auto,Four-Door Car,396.295614
Oregon,Male,Master,1804248.0,35704.0,225.0,0,Personal Auto,Luxury Car,358.281562
Arizona,Female,Bachelor,499206.0,0.0,71.0,0,Corporate Auto,Four-Door Car,653.388564
Oregon,Female,High School or Below,910227.0,26049.0,118.0,0,Personal Auto,Two-Door Car,121.032372
Arizona,Male,Doctor,254041.0,70125.0,64.0,0,Special Auto,Four-Door Car,92.813396
California,Male,College,1294189.0,52369.0,110.0,1,Personal Auto,SUV,528.0
Washington,Female,Bachelor,236535.0,0.0,66.0,2,Special Auto,Four-Door Car,159.636956
Arizona,Male,College,572077.0,41770.0,72.0,0,Personal Auto,Four-Door Car,476.156957
Oregon,Male,High School or Below,703553.0,0.0,101.0,0,Corporate Auto,Four-Door Car,727.2
California,Male,College,263698.0,31911.0,67.0,0,Personal Auto,Four-Door Car,321.6
Nevada,Male,Bachelor,539583.0,70051.0,68.0,0,Corporate Auto,Four-Door Car,42.078345
